date,type,deaths,injuries,location,city,country
2011-03-21,Ambush,11.0,0.0,"Gwadar, Balochistan Province, Pakistan",Gwadar,Pakistan
2011-03-21,Execution,4.0,0.0,"Miranshah, North Waziristan, Pakistan",Miranshah,Pakistan
2011-03-23,Roadside bombings,1.0,11.0,"Peshawar, Hangu, Pakistan",Peshawar,Pakistan
2011-03-23,Ambush,4.0,17.0,"Quetta, Balochistan Province, Pakistan",Quetta,Pakistan
2011-03-24,Car bombing,8.0,25.0,"Doaba, Hangu, Pakistan",Doaba,Pakistan
2011-03-12,Shootings/Targeted Killings,50.0,100.0,"Karachi, Pakistan",Karachi,Pakistan
2011-03-25,Ambush,8.0,20.0,"Kurram Agency, Pakistan",Kurram Agency,Pakistan
2011-03-25,Airstrike,4.0,2.0,"Helmand Province, Afghanistan",Helmand,Afghanistan
2011-03-27,Ambush,7.0,7.0,"Ma'rib Governorate, Yemen",Ma'Rib Governorate,Yemen
2011-03-27,Ambush,6.0,10.0,"Kurram Agency, Pakistan",Kurram Agency,Pakistan
2011-03-28,Car bombing,24.0,59.0,"Paktika Province, Afghanistan",Paktika,Afghanistan
2011-03-28,Explosion,150.0,45.0,"Jaʿār, Yemen",JaʿĀr,Yemen
2011-03-28,Violence,9.0,16.0,"Mosul, Baghdad, Iraq",Mosul,Iraq
2011-03-29,Hostage Crisis,56.0,98.0,"Tikrit, Iraq",Tikrit,Iraq
2011-03-30,Suicide bombing,13.0,20.0,"Swabi, Pakistan",Swabi,Pakistan
2011-03-31,Suicide bombing,12.0,40.0,"Charsadda, Pakistan",Charsadda,Pakistan
2011-03-31,IED,3.0,0.0,"Loralai, Balochistan Province, Pakistan",Loralai,Pakistan
2011-03-31,"IED, Shooting",7.0,0.0,"Turbat, Qalat, Balochistan Province, Pakistan",Turbat,Pakistan
2011-04-02,Car bombing,1.0,0.0,"Omagh, Northern Ireland",Omagh,United Kingdom
2011-04-03,Suicide bombings,50.0,100.0,"Dera Ghazi Khan, Punjab Province, Pakistan",Dera Ghazi Khan,Pakistan
2011-04-04,Suicide bombing,8.0,40.0,"Lower Dir, Pakistan",Lower Dir,Pakistan
2011-04-07,Car bombing,1.0,20.0,"Quetta, Pakistan",Quetta,Pakistan
2011-04-08,Bombing,10.0,20.0,"Suleja, Nigeria",Suleja,Nigeria
2011-04-09,Shooting,6.0,17.0,"Alphen aan den Rijn, Netherlands",Alphen Aan Den Rijn,Netherlands
2011-04-11,Bombing,14.0,200.0,"Minsk, Belarus",Minsk,Belarus
2011-04-12,Targeted killings/Shootings,18.0,0.0,"Karachi, Pakistan",Karachi,Pakistan
2011-04-13,Suicide bombing,10.0,10.0,"Kunar Province, Afghanistan",Kunar,Afghanistan
2011-04-13,Airstrike,6.0,,"South Waziristan, Pakistan",South Waziristan,Pakistan
2011-04-14,Suicide bombings,3.0,10.0,"Paktia Province, Kabul, Kandahar, Afghanistan",Paktia,Afghanistan
2011-04-15,Suicide bombing,0.0,28.0,"Cirebon, Indonesia",Cirebon,Indonesia
2011-04-15,Suicide bombing,3.0,5.0,"Kandahar City, Kandahar Province, Afghanistan",Kandahar City,Afghanistan
2011-04-16,Suicide bombing,10.0,8.0,"Jalalabad, Afghanistan",Jalalabad,Afghanistan
2011-04-18,Car bombings,9.0,25.0,"Baghdad, Iraq",Baghdad,Iraq
2011-04-18,Suicide bombing,3.0,7.0,"Kabul, Afghanistan",Kabul,Afghanistan
2011-04-18,Bombing,1.0,25.0,"Pattani, Thailand",Pattani,Thailand
2011-04-18,Bombing,6.0,0.0,"Ghazni Province, Afghanistan",Ghazni,Afghanistan
2011-04-21,Bombing,3.0,6.0,"Jalalabad, Nangarhar Province, Afghanistan",Jalalabad,Afghanistan
2011-04-21,Bombing,19.0,40.0,"Karachi, Pakistan",Karachi,Pakistan
2011-04-21,Airstrike,25.0,,"North Waziristan, Pakistan",Waziristan,Pakistan
2011-04-23,Ambush,2.0,2.0,"Dara-I-Nur District, Afghanistan",Dara-I-Nur,Afghanistan
2011-04-23,Suicide bombing,5.0,5.0,"Bajaur Agency, Pakistan",Bajaur Agency,Pakistan
2011-04-24,Clashes,55.0,77.0,"Jonglei, Southern Sudan",Jonglei,South Sudan
2011-04-25,Bombing,3.0,15.0,"Maiduguri, Nigeria",Maiduguri,Nigeria
2011-04-26,Bombings,4.0,56.0,"Karachi, Pakistan",Karachi,Pakistan
2011-04-27,Shooting,9.0,5.0,"Kabul, Afghanistan",Kabul,Afghanistan
2011-04-28,Bombing,5.0,12.0,"Karachi, Pakistan",Karachi,Pakistan
2011-04-28,Suicide bombing,16.0,20.0,"Marrakesh, Morocco",Marrakesh,Morocco
2011-04-28,Suicide bombing,12.0,40.0,"Diyala province, Iraq",Diyala,Iraq
2011-04-28,Bombing,3.0,0.0,Southern Afghanistan,Unknown,Afghanistan
2011-04-29,Bombings/Shootings,11.0,29.0,"Baghdad and Diyala province, Iraq",Baghdad,Iraq
2011-04-30,Bombing,2.0,9.0,"Raman District, Thailand",Raman,Thailand
2011-04-30,Suicide bombing,8.0,19.0,"Mosul, Iraq",Mosul,Iraq
2011-05-01,Suicide bombing/Shooting/Bombing,7.0,30.0,"Barmal District, Ghazni province, and Kandahar, Afghanistan",Barmal,Afghanistan
2011-05-01,Shooting,3.0,4.0,"Abyan Governorate, Yemen",Abyan Governorate,Yemen
2011-05-02,Raid,5.0,2.0,"Abbottabad, Pakistan",Abbottabad,Pakistan
2011-05-03,Bombing,11.0,40.0,"Lohardaga, Jharkhand, India",Lohardaga,India
2011-05-03,Bombing,0.0,1.0,"Moscow, Russia",Moscow,Russia
2011-05-03,Car bomb,16.0,37.0,"Baghdad, Iraq",Baghdad,Iraq
2011-05-04,Shooting/Bombing,1.0,2.0,"Kastamonu, Turkey",Kastamonu,Turkey
2011-05-04,Shooting,9.0,20.0,"Zinjibar, Yemen",Zinjibar,Yemen
2011-05-05,Car bombing,21.0,75.0,"Hilla, Iraq",Hilla,Iraq
2011-05-06,Shooting,8.0,15.0,"Quetta, Pakistan",Quetta,Pakistan
2011-05-06,Airstrike,12.0,,"North Waziristan, Pakistan",Waziristan,Pakistan
2011-05-06,Airstrike,2.0,1.0,"Shabwah Governorate, Yemen",Shabwah Governorate,Yemen
2011-05-07,Suicide bombings/Shootings,2.0,23.0,"Kandahar, Afghanistan",Kandahar,Afghanistan
2011-05-08,Clashes,17.0,14.0,"Baghdad, Iraq",Baghdad,Iraq
2011-05-08,Bombings,2.0,10.0,"North Waziristan, Pakistan",Waziristan,Pakistan
2011-05-09,Shooting,9.0,0.0,"North Caucasus, Russia",Caucasus,Russia
2011-05-09,Grenade attack,0.0,0.0,"Derry, Northern Ireland",Derry,United Kingdom
2011-05-10,Bombing,2.0,8.0,"Nowshera District, Pakistan",Nowshera,Pakistan
2011-05-10,Bombings,2.0,1.0,"Tikrit, Iraq",Tikrit,Iraq
2011-05-10,Airstrike,4.0,,"South Waziristan, Pakistan",South Waziristan,Pakistan
2011-05-12,Airstrike,5.0,,"North Waziristan, Pakistan",Waziristan,Pakistan
2011-05-12,Shooting,1.0,0.0,"Dagestan, Russia",Dagestan,Russia
2011-05-13,Suicide bombings,80.0,140.0,"Charsadda, Pakistan",Charsadda,Pakistan
2011-05-13,Ambush,7.0,,"Jijel, Algeria",Jijel,Algeria
2011-05-13,Airstrike,5.0,,"North Waziristan, Pakistan",Waziristan,Pakistan
2011-05-14,Bombing,6.0,,"Kharian, Pakistan",Kharian,Pakistan
2011-05-16,Airstrike,10.0,,"North Waziristan, Pakistan",Waziristan,Pakistan
2011-05-18,Shootings,2.0,5.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-05-18,Suicide bombing,13.0,13.0,"Jalalabad, Afghanistan",Jalalabad,Afghanistan
2011-05-19,Car bombs,29.0,90.0,"Kirkuk, Iraq",Kirkuk,Iraq
2011-05-19,Shooting,35.0,20.0,"Wazei Zadran, Afghanistan",Wazei Zadran,Afghanistan
2011-05-20,Car bomb,1.0,10.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-05-20,Airstrike,6.0,,"North Waziristan, Pakistan",Waziristan,Pakistan
2011-05-21,Bombing,15.0,0.0,"Khyber Pass, Pakistan",Khyber Pass,Pakistan
2011-05-21,Suicide bombing,6.0,23.0,"Kabul, Afghanistan",Kabul,Afghanistan
2011-05-22,Suicide bombing,6.0,0.0,"Khost, Afghanistan",Khost,Afghanistan
2011-05-22,Bombing,16.0,24.0,"Taji, Iraq",Taji,Iraq
2011-05-22,"Bombings, shootings, hostage taking - see PNS Mehran attack",24.0,21.0,"Karachi, Pakistan",Karachi,Pakistan
2011-05-23,Bombing,4.0,0.0,Eastern Afghanistan,Unknown,Afghanistan
2011-05-23,Airstrike,7.0,,"Mir Ali, Pakistan",Mir Ali,Pakistan
2011-05-24,Bombing,10.0,28.0,"Kandahar Province, Afghanistan",Kandahar,Afghanistan
2011-05-24,Car bomb,4.0,15.0,"Baghdad, Iraq",Baghdad,Iraq
2011-05-25,Car bomb,6.0,26.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-05-26,Car bomb,38.0,52.0,"Hangu, Pakistan",Hangu,Pakistan
2011-05-26,Bombing,8.0,,Southern Afghanistan,Unknown,Afghanistan
2011-05-28,Suicide bombing,8.0,11.0,"Bajaur Agency, Pakistan",Bajaur Agency,Pakistan
2011-05-28,Suicide bombing,6.0,3.0,"Takhar Province, Afghanistan",Takhar,Afghanistan
2011-05-29,Airstrike,14.0,,"Helmand Province, Afghanistan",Helmand,Afghanistan
2011-05-29,Bombing,10.0,20.0,"Bauchi, Nigeria",Bauchi,Nigeria
2011-05-30,Bombing,1.0,8.0,"Miranshah, Pakistan",Miranshah,Pakistan
2011-05-30,"Suicide bombing, shootings",5.0,34.0,"Herat, Afghanistan",Herat,Afghanistan
2011-05-31,Airstrike,17.0,,"Orakzai Agency, Pakistan",Orakzai Agency,Pakistan
2011-06-01,Shooting,76.0,,"Upper Dir District, Pakistan",Upper Dir,Pakistan
2011-06-02,"suicide bombing, car bombing, IED",10.0,15.0,"Ramadi, Iraq",Ramadi,Iraq
2011-06-03,Bombing \ Suicide bombing,21.0,60.0,"Tikrit, Iraq",Tikrit,Iraq
2011-06-05,Bombing,6.0,10.0,"Garhi Matani, Pakistan",Garhi Matani,Pakistan
2011-06-05,Suicide bombing,18.0,40.0,"Naushera, Pakistan",Naushera,Pakistan
2011-06-06,Airstrike,23.0,,"South Waziristan, Pakistan",South Waziristan,Pakistan
2011-06-06,Bombing \ Suicide Bombing \ Shooting,27.0,39.0,"Tikrit, Ramadi and Baghdad, Iraq",Tikrit,Iraq
2011-06-06,Shooting \ Bombing,13.0,0.0,"Pul-i-Alam, Afghanistan",Pul-I-Alam,Afghanistan
2011-06-06,Shooting,7.0,12.0,"Zinjibar, Yemen",Zinjibar,Yemen
2011-06-07,Shooting,45.0,0.0,"Zinjibar, Yemen",Zinjibar,Yemen
2011-06-07,"Shooting, Bombing",7.0,5.0,"Baghdad, Ramadi, Mosul and Hilla, Iraq",Baghdad,Iraq
2011-06-08,"Shooting, IED",5.0,13.0,"Baghdad, Fallujah, Mosul and Baqubah, Iraq",Baghdad,Iraq
2011-06-08,"Shooting, Bombing",2.0,5.0,"Narathiwat, Thailand",Narathiwat,Thailand
2011-06-10,Assassination,1.0,0.0,"Moscow, Russia",Moscow,Russia
2011-06-11,Shooting,30.0,0.0,"Zinjibar, Yemen",Zinjibar,Yemen
2011-06-11,"Suicide bombing, Bombing",20.0,26.0,"Khost, Metherlam and Kandahar, Afghanistan",Khost,Afghanistan
2011-06-11,Bombings,34.0,100.0,"Peshawar, Pakistan",Peshawar,Pakistan
2011-06-11,Bombings,12.0,60.0,"Mosul, Baghdad and Samarra, Iraq",Mosul,Iraq
2011-06-13,Suicide bombing,5.0,15.0,"Basra, Iraq",Basra,Iraq
2011-06-14,"Suicide bombing, Shooting",14.0,25.0,"Baghdad, Baqubah, Mosul and Kirkuk, Iraq",Baghdad,Iraq
2011-06-15,Suicide bombing,8.0,4.0,"Kapisa Province, Afghanistan",Kapisa,Afghanistan
2011-06-16,"Suicide bombing, Car bombing",6.0,7.0,"Abuja, Nigeria",Abuja,Nigeria
2011-06-18,Suicide bombing,9.0,12.0,"Kabul, Afghanistan",Kabul,Afghanistan
2011-06-20,"Drone strike, Bombing",12.0,12.0,"Quetta and Parachinar, Pakistan",Quetta,Pakistan
2011-06-20,"Shooting, Bombing, IED",6.0,19.0,"Baghdad, Kirkuk and Mosul, Iraq",Baghdad,Iraq
2011-06-20,Shooting,3.0,0.0,"Pattani and Yala, Thailand",Pattani,Thailand
2011-06-21,"Car bombing, Suicide bombing",35.0,54.0,"Diwaniyah, Mussayab and Baghdad, Iraq",Diwaniyah,Iraq
2011-06-23,"Car bombing, Suicide bombing",48.0,96.0,"Baghdad, Mosul and Kirkuk, Iraq",Baghdad,Iraq
2011-06-24,Bombings,0.0,4.0,"Naypyitaw, Mandalay and Pyin U Lwin, Burma",Naypyitaw,Myanmar
2011-06-25,Bicycle bombing,10.0,24.0,"Khan Abad District, Afghanistan",Khan Abad,Afghanistan
2011-06-25,Suicide car bombing,35.0,53.0,"Azra District, Afghanistan",Azra,Afghanistan
2011-06-26,Bombings,25.0,12.0,"Maiduguri, Nigeria",Maiduguri,Nigeria
2011-06-27,Airstrike,21.0,,"South Waziristan, Pakistan",South Waziristan,Pakistan
2011-06-28,Suicide attacks,12.0,8.0,"Kabul, Afghanistan",Kabul,Afghanistan
2011-07-02,Bombing,13.0,0.0,"Shamulzayi District, Afghanistan",Shamulzayi,Afghanistan
2011-07-03,Bombing,5.0,10.0,"Maiduguri, Nigeria",Maiduguri,Nigeria
2011-07-05,Various,14.0,,"Baghdad and other cities, Iraq",Baghdad,Iraq
2011-07-05,Car bombing,21.0,28.0,"Taji, Iraq",Taji,Iraq
2011-07-12,Shooting assassination,1.0,0.0,"Kandahar, Afghanistan",Kandahar,Afghanistan
2011-07-13,Bombings,20.0,130.0,"Mumbai, India",Mumbai,India
2011-07-14,Airstrike,50.0,,"Al Wade'a District, Yemen",Al Wade'A,Yemen
2011-07-14,"Ambush, shooting",20.0,7.0,"Diyarbakır Province, Turkey",Diyarbakır,Turkey
2011-07-15,"Bombings, shootings",9.0,45.0,"Kerbala, Iraq",Kerbala,Iraq
2011-07-16,"Bombings, Car bombs",6.0,38.0,"Kerbala and Baghdad, Iraq",Kerbala,Iraq
2011-07-16,Suicide bombings,4.0,20.0,"Bordj Menaïel, Algeria",Bordj Menaïel,Algeria
2011-07-17,"Shooting assassination, suicide bombing, siege",2.0,0.0,"Kabul, Afghanistan",Kabul,Afghanistan
2011-07-18,"Bombing, stabbing",18.0,4.0,"Hotan, Xinjiang, China",Hotan,China
2011-07-19,Shooting and rockets,3.0,,"Conakry, Guinea",Conakry,Guinea
2011-07-20,"Shooting, bombing",11.0,15.0,"Kandahar and Mazar-i-Sharif, Afghanistan",Kandahar,Afghanistan
2011-07-20,Bombing,1.0,1.0,"Aden, Yemen",Aden,Yemen
2011-07-20,Bombing,7.0,4.0,"Chhattisgarh, India",Chhattisgarh,India
2011-07-21,Airstrike,4.0,,"North Waziristan, Pakistan",Waziristan,Pakistan
2011-07-22,Bombing/shooting,77.0,319.0,"Oslo and Utøya, Norway",Oslo,Norway
2011-07-24,Raid,3.0,1.0,"Dagestanskiye Ogni, Dagestan, Russia",Dagestanskiye Ogni,Russia
2011-07-24,Suicide bombing/shooting,9.0,21.0,"Aden, Yemen",Aden,Yemen
2011-07-24,Suicide bombing/shooting,3.0,0.0,"Mardin Province, Turkey",Mardin,Turkey
2011-07-27,Suicide bombing,1.0,0.0,"Kandahar, Afghanistan",Kandahar,Afghanistan
2011-07-27,"Shooting, IED",2.0,2.0,"Pattani, Thailand",Pattani,Thailand
2011-07-28,Shooting,7.0,21.0,"Jolo Island, Philippines",Jolo Island,Philippines
2011-07-28,"Suicide bombings, shootings",19.0,37.0,"Tarin Kowt, Afghanistan",Tarin Kowt,Afghanistan
2011-07-28,"Suicide bombing, car bomb",15.0,30.0,"Tikrit, Iraq",Tikrit,Iraq
2011-07-29,"IED, shootings",19.0,4.0,"Lashkar Gah, Afghanistan",Lashkar Gah,Afghanistan
2011-07-29,Hostage taking,0.0,5.0,"Arauca department, Colombia",Arauca Department,Colombia
2011-07-30,"Carbombing, stabbing",23.0,42.0,"Kashgar, Xinjiang, China",Kashgar,China
2011-07-31,Suicide bombing,10.0,12.0,"Lashkar Gah, Helmand Province, Afghanistan",Lashkar Gah,Afghanistan
2011-08-01,Bomb,5.0,7.0,"Imphal, Manipur, India",Imphal,India
2011-08-04,Arson,0.0,0.0,"Salar, Saydabad district, Wardak, Afghanistan",Salar,Afghanistan
2011-08-06,Rocket-propelled grenade attack,46.0,,"Saydabad district, Wardak, Afghanistan",Saydabad,Afghanistan
2011-08-08,Bombing,0.0,2.0,"Atizapán de Zaragoza, México",Atizapán de Zaragoza,Mexico
2011-08-14,"Car bomb, Suicide bombings",26.0,34.0,"Charikar, Parwan Province and Ghazni province, Afghanistan",Charikar,Afghanistan
2011-08-14,Rocket attack,3.0,23.0,"Miranshah, Pakistan",Miranshah,Pakistan
2011-08-15,"Suicide bombings, car bombs, IEDs",62.0,273.0,"Kut, Najaf, Kirkuk, Kerbala and Tikrit, Iraq",Kut,Iraq
